sentence,exrecise,feeling
i played tennis for an hour. i am not good at tennis.,tennis,not good
i played tennis for an hour. i feel invigorated.,tennis,invigorated
i played tennis for 45 minutes. i feel energized but i might be sore tomorrow.,tennis,"energized, sore"
i played doubles tennis for 45 minutes i felt exhausted but tough.,tennis,"exhausted, tough"
i played an hour of tennis. i feel exhausted.,tennis,exhausted
i played tennis for 2 hours. i felt very alive and happy.,tennis,"alive, happy"
played tennis for an hour. i felt really engaged and energized.,tennis,"engaged, energized"
i just played tennis my arms are sore,tennis,sore
i just played two hours of tennis.  i felt great about my game and am glad i got some exercise.,tennis,"great, glad"
i play tennis for about half an hour every day i felt very energetic,tennis,energetic
i just played singles tennis. my knees are killing me.,tennis,killing me
workout: i played tennis for 2 hours. how i felt i was tried but felt great,tennis,great
i played tennis for one hour my legs were sore,tennis,sore
i played three hours tennis iam really out of day,tennis,out of day
i played tennis for two and a half hours. i was tired and ready for bed.,tennis,tired
i just played 1 hour of tennis i feel good,tennis,good
i played a two hour tennis game. i'm really energetic.,tennis game,energetic
i just finished a three hour tennis match. i have never in my life felt this exhausted before!,tennis match,exhausted
i did 50 thrusters. i'm starting to feel a little lightheaded.,thrusters,lightheaded
i played a touch football game with the neighborhood kids. i felt accomplished from burning calories.,touch football,accomplished
"i alternately touched my toes with opposite hands twenty times on each side. when i was doing this exercise i began to feel winded, and a bit stressed.",touched my toes,"winded, stressed"
3 miles track felt poor this morning,track,poor
i just did 20 minutes on the tread climber. my calfs were on fire.,tread climber,fire
i like treadmil i like it because it good for health,treadmil,good for health
i ran on the treadmill for 5 minutes and felt exhausted.,treadmill,exhausted
i ran 15 minutes on the treadmill and felt totally exhausted after that.,treadmill,exhausted
"i did the treadmill for 30 minutes and i felt more energetic, refreshed, and happy for what i did.",treadmill,"more energetic, refreshed, happy"
i just did 15 minutes on the treadmill i'm feeling strong,treadmill,strong
my first workout was on the treadmill and it was exhausting. i felt very tired,treadmill,tired
i just finished one hour on the treadmill i felt really good and ready for more,treadmill,really good
"i worked out on my treadmill downstairs for 30 minutes, while watching young and the restless.   while working out i felt tired but afterwards i felt i did a great job, and i felt much better moodwise.",treadmill,tired
i tried treadmill and it was amazing. i felt excited before and after .,treadmill,excited
i spent an hour on the treadmill. i felt motivated.,treadmill,motivated
i did the treadmill an ran for 30 minutes i felt really tired,treadmill,really tired
i did the treadmill again and i felt tired  i felt like i ran better than my first time.,treadmill,better
i just did 10 minutes on the treadmill i feel energized,treadmill,energized
i did the treadmill for 30 minutes. i am so tired.,treadmill,tired
i walked on the treadmill on an incline for 45 minutes. i am drenched in sweat now.,treadmill,drenched in sweat
i ran on the treadmill for 5 minutes. i'm breathing hard and feel like i'm out of shape.,treadmill,"breathing hard, out of shape"
i did 45 minutes on the treadmill it was exhilerating,treadmill,exhilerating
i used the treadmill at the gym today. my legs feel like noodles.,treadmill,noodles
"i spent 40 minutes on the treadmill today. my feet were killing me, but i felt great when i finished.",treadmill,"killing me, great"
i went on the treadmill at the gym. my legs were hurting after i completed the exercise.,treadmill,hurting
i just did 45 minutes on the treadmill. i feel proud that i am increasing my time and stamina,treadmill,proud
treadmill for 35 min. at 3 mph i felt great,treadmill,great
i went on the treadmill for 30 minutes.  i felt sweaty and  shakey.,treadmill,"sweaty, shakey"
in the gym i did 30 minutes on the treadmill at a very average speed i kept wanting to give up before the 30 minutes but i was determined to finish the 30 minutes,treadmill,"give up, determined"
"i just finish my 1 hour treadmill workout. yehh,i feel much more lighter now.",treadmill workout,lighter
"i did cardio, like treadmill, and stair master  i actually felt good during and after","treadmill, and stair master",good
i did tricep extensions i am feeling good,tricep extensions,good
i did upper arm exercises.  i felt good that i was making progress.,upper arm exercises,felt good
i did a 30 upper body weightlifting routine i felt like i am making good progeres,upper body weightlifting,making good progeres
i did upper body workout for 30min and felt strong.,upper body workout,strong
i used dumbbells to do a upper body workout my muscles felt sore afterwards.,"upper body workout, dumbbells",sore
i completed one video workout.  it felt really good to work up a sweat.,video workout,good
i just did vinyasa yoga for 45 minutes. i felt so relaxed afterwards!,vinyasa yoga,relaxed
i played a volley ball game and i felt completely wiped out.,volley ball,completely wiped out
i am every morning play a volley ball i am really strong my body fitness,volley ball,body fitness
i just play volley ball i am really out of shape,volley ball,out of shape
volley ball i feel brisk,volley ball,brisk
volley ball i felt relaxation,volley ball,relaxation
i played volleyball for 2 hours and am tired,volleyball,tired
i played volleyball for two hours after work. i was exhausted!,volleyball,exhausted
i played volleyball in a tournament. i was tired.,volleyball,tired
i played volleyball for an hour. i felt terrific.,volleyball,terrific
i just played a one hour game of volleyball. i feel energized!,volleyball,energized
i played volleyball for one hour. it felt terrific.,volleyball,terrific
i played volleyball for an hour i am really out of shape and tired.,volleyball,"out of shape, tired"
i played sand volleyball for an hour last night.  i am out of shape; i feel like i got hit by a truck.,volleyball,"out of shape, hit by a truck"
i played an hour volleyball game. i feel exhausted.,volleyball,exhausted
i took a light walk for half an hour and felt relaxed after it.,walk,relaxed
i took my dog for a walk and i felt refreshed.,walk,refreshed
i walk for an hour and i was tired and ready for a nap.,walk,"tired, ready for a nap"
i walk five miles and i felt very tired.,walk,very tired
i walk two miles and i feel very restless.,walk,restless
"walk thru town, excited",walk,excited
i was able to walk 2.5 miles this afternoon. my legs and feet were pretty sore!,walk,sore
i just walk 2 miles i feel energetic,walk,energetic
i went for a 5 mile brisk walk i feel great!,walk,great
walk at home exercise felt strength,walk,strength
i walk early morning reduce fat,walk,fat
i took a five-mile walk. i felt re-energized.,walk,re-energized
i went for a walk up a large hill i felt out of breath,walk,breath
i walk in morning     i feel refresh,walk,refresh
i took a brisk walk i felt energized,walk,energized
i walked 5 miles around the park the fresh air was invigorating,walk,invigorating
walk around the block every other day very good,walk,very good
i walk thirty minutes a night. i felt more happier after workout.,walk,happier
just took a long walk in the neighborhood i am finally able to get out and exercise again.  i feel invigorated!,walk,invigorated
i did walk for about 45 minutes great...as my doctor said to walk for atleast 45 minutes a day...i felt less guilty,walk,less guilty
i walked my dog around the block. it was refreshing.,walk,refreshing
i just walk 30 minutes i felt great.,walk,great
i went on a 5 mile walk. it felt good to go on that walk.,walk,good
i went on a walk at lunch today. it was nice to get fresh air and be active.,walk,"nice, active"
i just went on a forty minute walk. it was hot and i got very sweaty.,walk,"hot, sweaty"
i walked for one hour. i felt relaxed.,walk,relaxed
my first mile speed walk i worried i woulnt make it but did.  i felt terrific.,walk,terrific
secondly i walk around the block three times. it gets my blood flowing and warms up my muscles for the day.,walk,"blood flowing, warms up my muscles"
i went for a walk invigorated,walk,invigorated
i walked four laps around the track i felt like my legs were going to fall off.,walk,fall off
i walked 2 miles last week i felt super tired,walk,tired
i took a long walk on the beach. i felt refreshed.,walk,refreshed
"i went for a walk for an hour. my feet hurt a little, but i'm fine otherwise.",walk,"hurt, fine"
"i took a 20 minute walk around the neighborhood. i felt tired, but refreshed afterward.",walk,"tired, refreshed"
i took a walk to take out my trash.  i felt calm and accomplished.,walk,"calm, accomplished"
i just completed a 4 mile walk. i feel relaxed and refreshed.,walk,"relaxed, refreshed"
